id,step,timestamp,entry,delta
1,place-tools,2024-01-18T08:58:09.014104,/ko-app/entrypoint to /tekton/bin/entrypoint,0.0000
2,step-init,2024-01-18T08:58:09.527257,/step directories,0.5132
3,place-scripts,2024-01-18T08:58:22.968764,script /tekton/scripts/script-0-6t5m7,13.4415
4,place-scripts,2024-01-18T08:58:22.983083,script /tekton/scripts/script-2-bgfln,0.0143
5,place-scripts,2024-01-18T08:58:22.996507,script /tekton/scripts/script-3-w5fdp,0.0134
6,place-scripts,2024-01-18T08:58:23.009650,script /tekton/scripts/script-9-fttrz,0.0131
7,place-scripts,2024-01-18T08:58:23.021446,script /tekton/scripts/script-11-phcdb,0.0118
8,step-copy-builder-to-tmp,2024-01-18T08:58:36.588102,"unsuccessful cred copy: "".docker"" from ""/tekton/creds"" to ""/tekton/home"": unable to open destination: open /tekton/home/.docker/config.json: permission denied",13.5667
9,step-copy-stack-toml,2024-01-18T08:58:49.883078,"unsuccessful cred copy: "".docker"" from ""/tekton/creds"" to ""/tekton/home"": unable to open destination: open /tekton/home/.docker/config.json: permission denied",13.2950
10,step-analyze,2024-01-18T08:59:15.568670,"unsuccessful cred copy: "".docker"" from ""/tekton/creds"" to ""/tekton/home"": unable to open destination: open /tekton/home/.docker/config.json: permission denied",25.6856
11,step-restore,2024-01-18T08:59:28.393534,"unsuccessful cred copy: "".docker"" from ""/tekton/creds"" to ""/tekton/home"": unable to open destination: open /tekton/home/.docker/config.json: permission denied",12.8249
12,step-export,2024-01-18T08:59:54.433612,"unsuccessful cred copy: "".docker"" from ""/tekton/creds"" to ""/tekton/home"": unable to open destination: open /tekton/home/.docker/config.json: permission denied",26.0401
13,step-clone,2024-01-18T08:59:56.674741,'=' true ],2.2411
14,step-clone,2024-01-18T08:59:56.674918,'=' true ],0.0002
15,step-clone,2024-01-18T08:59:56.674956,'=' true ],0.0000
16,step-clone,2024-01-18T08:59:56.674982,CHECKOUT_DIR=/workspace/ ,0.0000
17,step-clone,2024-01-18T08:59:56.675079,'=' true ],0.0001
18,step-clone,2024-01-18T08:59:56.675113,cleandir ,0.0000
19,step-clone,2024-01-18T08:59:56.675128,/workspace/ ],0.0000
20,step-clone,2024-01-18T08:59:56.675643,'/workspace//*',0.0005
21,step-clone,2024-01-18T08:59:56.678317,'/workspace//.[!.]*',0.0027
22,step-clone,2024-01-18T08:59:56.681335,'/workspace//..?*',0.0030
23,step-clone,2024-01-18T08:59:56.684315,test -z ,0.0030
24,step-clone,2024-01-18T08:59:56.684387,test -z ,0.0001
25,step-clone,2024-01-18T08:59:56.684415,test -z ,0.0000
26,step-clone,2024-01-18T08:59:56.684483,'-revision=' '-refspec=' '-path=/workspace/' '-sslVerify=true' '-submodules=true' '-depth=1' '-sparseCheckoutDirectories=',0.0001
27,step-clone,2024-01-18T08:59:59.065146,"@ 514b1ea3726070bb15af55ec7ce5e46703c10aa4 (grafted, HEAD) in path /workspace/""}",2.3807
28,step-clone,2024-01-18T08:59:59.095465,"updated submodules in path /workspace/""}",0.0303
29,step-clone,2024-01-18T08:59:59.104429,cd /workspace/ ,0.0090
30,step-clone,2024-01-18T08:59:59.104649,HEAD,0.0002
31,step-clone,2024-01-18T08:59:59.106071,RESULT_SHA=514b1ea3726070bb15af55ec7ce5e46703c10aa4 ,0.0014
32,step-clone,2024-01-18T08:59:59.106092,EXIT_CODE=0 ,0.0000
33,step-clone,2024-01-18T08:59:59.106103,'!=' 0 ],0.0000
