id,step,entry,delta
1,place-tools,/ko-app/entrypoint to /tekton/bin/entrypoint,0.0
2,step-init,/step directories,0.7405
3,place-scripts,script /tekton/scripts/script-0-n6xcb,2.2613
4,place-scripts,script /tekton/scripts/script-2-98hm4,2.2731
5,place-scripts,script /tekton/scripts/script-3-hf9dm,2.2847
6,place-scripts,script /tekton/scripts/script-9-5q2h9,2.2972
7,place-scripts,script /tekton/scripts/script-11-zt7kn,2.3092
8,step-copy-builder-to-tmp,"unsuccessful cred copy: "".docker"" from ""/tekton/creds"" to ""/tekton/home"": unable to open destination: open /tekton/home/.docker/config.json: permission denied",3.6067
9,step-copy-stack-toml,"unsuccessful cred copy: "".docker"" from ""/tekton/creds"" to ""/tekton/home"": unable to open destination: open /tekton/home/.docker/config.json: permission denied",4.7589
10,step-analyze,"unsuccessful cred copy: "".docker"" from ""/tekton/creds"" to ""/tekton/home"": unable to open destination: open /tekton/home/.docker/config.json: permission denied",6.4991
11,step-restore,"unsuccessful cred copy: "".docker"" from ""/tekton/creds"" to ""/tekton/home"": unable to open destination: open /tekton/home/.docker/config.json: permission denied",7.3769
12,step-export,"unsuccessful cred copy: "".docker"" from ""/tekton/creds"" to ""/tekton/home"": unable to open destination: open /tekton/home/.docker/config.json: permission denied",9.3456
13,step-clone,'=' true ],10.7955
14,step-clone,'=' true ],10.7956
15,step-clone,'=' true ],10.7966
16,step-clone,CHECKOUT_DIR=/workspace/ ,10.7966
17,step-clone,'=' true ],10.7966
18,step-clone,cleandir ,10.7967
19,step-clone,/workspace/ ],10.7967
20,step-clone,'/workspace//*',10.7967
21,step-clone,'/workspace//.[!.]*',10.799
22,step-clone,'/workspace//..?*',10.8005
23,step-clone,test -z ,10.8025
24,step-clone,test -z ,10.8025
25,step-clone,test -z ,10.8025
26,step-clone,'-revision=' '-refspec=' '-path=/workspace/' '-sslVerify=true' '-submodules=true' '-depth=1' '-sparseCheckoutDirectories=',10.8026
27,step-clone,"@ 514b1ea3726070bb15af55ec7ce5e46703c10aa4 (grafted, HEAD) in path /workspace/""}",12.449
28,step-clone,"updated submodules in path /workspace/""}",12.4911
29,step-clone,cd /workspace/ ,12.4981
30,step-clone,HEAD,12.4988
31,step-clone,RESULT_SHA=514b1ea3726070bb15af55ec7ce5e46703c10aa4 ,12.5002
32,step-clone,EXIT_CODE=0 ,12.5003
33,step-clone,'!=' 0 ],12.5003
34,step-copy-builder-to-tmp,/cnb/buildpacks /tmp_builder/,12.6148
35,step-copy-builder-to-tmp,/tmp_builder/,12.7405
36,step-prepare,on '/cache'...,13.7444
37,step-prepare,on '/tekton/home'...,13.7548
38,step-prepare,on '/layers'...,13.7618
39,step-prepare,on '/workspace'...,13.7637
40,step-prepare,configuration...,13.7693
41,step-prepare,variables...,13.7697
42,step-prepare,environment variables...,13.771
43,step-prepare,directory: /platform/env,13.7711
44,step-inject-buildpacks,nounset,13.8631
45,step-inject-buildpacks,errexit,13.8634
46,step-inject-buildpacks,pipefail,13.8636
47,step-inject-buildpacks,JSON_TOML_URL=https://github.com/pelletier/go-toml/releases/download/v2.1.1/jsontoml_2.1.1_linux_amd64.tar.xz ,13.8638
48,step-inject-buildpacks,TOML_JSON_URL=https://github.com/pelletier/go-toml/releases/download/v2.1.1/tomljson_2.1.1_linux_amd64.tar.xz ,13.8644
49,step-inject-buildpacks,JQ_URL=https://github.com/jqlang/jq/releases/download/jq-1.7.1/jq-linux-amd64 ,13.8646
50,step-inject-buildpacks,main ,13.8654
