id,step,timestamp,entry,delta
1,place-tools,2024-01-18T09:58:37.956146,/ko-app/entrypoint to /tekton/bin/entrypoint,0.0000
2,step-init,2024-01-18T09:58:38.696694,/step directories,0.7405
3,place-scripts,2024-01-18T09:58:40.217461,script /tekton/scripts/script-0-n6xcb,2.2613
4,place-scripts,2024-01-18T09:58:40.229211,script /tekton/scripts/script-2-98hm4,2.2731
5,place-scripts,2024-01-18T09:58:40.240816,script /tekton/scripts/script-3-hf9dm,2.2847
6,place-scripts,2024-01-18T09:58:40.253379,script /tekton/scripts/script-9-5q2h9,2.2972
7,place-scripts,2024-01-18T09:58:40.265365,script /tekton/scripts/script-11-zt7kn,2.3092
8,step-copy-builder-to-tmp,2024-01-18T09:58:41.562865,"unsuccessful cred copy: "".docker"" from ""/tekton/creds"" to ""/tekton/home"": unable to open destination: open /tekton/home/.docker/config.json: permission denied",3.6067
9,step-copy-stack-toml,2024-01-18T09:58:42.715044,"unsuccessful cred copy: "".docker"" from ""/tekton/creds"" to ""/tekton/home"": unable to open destination: open /tekton/home/.docker/config.json: permission denied",4.7589
10,step-analyze,2024-01-18T09:58:44.455209,"unsuccessful cred copy: "".docker"" from ""/tekton/creds"" to ""/tekton/home"": unable to open destination: open /tekton/home/.docker/config.json: permission denied",6.4991
11,step-restore,2024-01-18T09:58:45.333094,"unsuccessful cred copy: "".docker"" from ""/tekton/creds"" to ""/tekton/home"": unable to open destination: open /tekton/home/.docker/config.json: permission denied",7.3769
12,step-export,2024-01-18T09:58:47.301791,"unsuccessful cred copy: "".docker"" from ""/tekton/creds"" to ""/tekton/home"": unable to open destination: open /tekton/home/.docker/config.json: permission denied",9.3456
13,step-clone,2024-01-18T09:58:48.751611,'=' true ],10.7955
14,step-clone,2024-01-18T09:58:48.751700,'=' true ],10.7956
15,step-clone,2024-01-18T09:58:48.752741,'=' true ],10.7966
16,step-clone,2024-01-18T09:58:48.752787,CHECKOUT_DIR=/workspace/ ,10.7966
17,step-clone,2024-01-18T09:58:48.752795,'=' true ],10.7966
18,step-clone,2024-01-18T09:58:48.752800,cleandir ,10.7967
19,step-clone,2024-01-18T09:58:48.752805,/workspace/ ],10.7967
20,step-clone,2024-01-18T09:58:48.752809,'/workspace//*',10.7967
21,step-clone,2024-01-18T09:58:48.755112,'/workspace//.[!.]*',10.7990
22,step-clone,2024-01-18T09:58:48.756672,'/workspace//..?*',10.8005
23,step-clone,2024-01-18T09:58:48.758612,test -z ,10.8025
24,step-clone,2024-01-18T09:58:48.758634,test -z ,10.8025
25,step-clone,2024-01-18T09:58:48.758646,test -z ,10.8025
26,step-clone,2024-01-18T09:58:48.758718,'-revision=' '-refspec=' '-path=/workspace/' '-sslVerify=true' '-submodules=true' '-depth=1' '-sparseCheckoutDirectories=',10.8026
27,step-clone,2024-01-18T09:58:50.405134,"@ 514b1ea3726070bb15af55ec7ce5e46703c10aa4 (grafted, HEAD) in path /workspace/""}",12.4490
28,step-clone,2024-01-18T09:58:50.447231,"updated submodules in path /workspace/""}",12.4911
29,step-clone,2024-01-18T09:58:50.454212,cd /workspace/ ,12.4981
30,step-clone,2024-01-18T09:58:50.454920,HEAD,12.4988
31,step-clone,2024-01-18T09:58:50.456377,RESULT_SHA=514b1ea3726070bb15af55ec7ce5e46703c10aa4 ,12.5002
32,step-clone,2024-01-18T09:58:50.456397,EXIT_CODE=0 ,12.5003
33,step-clone,2024-01-18T09:58:50.456401,'!=' 0 ],12.5003
34,step-copy-builder-to-tmp,2024-01-18T09:58:50.570902,/cnb/buildpacks /tmp_builder/,12.6148
35,step-copy-builder-to-tmp,2024-01-18T09:58:50.696612,/tmp_builder/,12.7405
36,step-prepare,2024-01-18T09:58:51.700558,on '/cache'...,13.7444
37,step-prepare,2024-01-18T09:58:51.710902,on '/tekton/home'...,13.7548
38,step-prepare,2024-01-18T09:58:51.717963,on '/layers'...,13.7618
39,step-prepare,2024-01-18T09:58:51.719841,on '/workspace'...,13.7637
40,step-prepare,2024-01-18T09:58:51.725468,configuration...,13.7693
